"loan_status","customer_id","age","occupation_status","years_employed","annual_income","credit_score","credit_history_years","savings_assets","current_debt","defaults_on_file","delinquencies_last_2yrs","derogatory_marks","product_type","loan_intent","loan_amount","interest_rate","debt_to_income_ratio","loan_to_income_ratio","payment_to_income_ratio","confidence(false)","confidence(true)","prediction(loan_status)"
"true","CUST100002",42,"Student",1.1,20840,689,8.4,17,7852,0,0,0,"Credit Card","Debt Consolidation",2100,18.33,0.377,0.101,0.034,0.3076488266714661,0.6923511733285339,"true"
"true","CUST100006",53,"Employed",22.9,44989,674,11.1,19667,19298,0,0,0,"Personal Loan","Home Improvement",45600,11.02,0.429,1.014,0.338,0.3002097761525768,0.6997902238474232,"true"
"true","CUST100010",29,"Employed",5.0,15000,657,8.9,2105,3866,0,0,0,"Line of Credit","Education",5000,9.24,0.258,0.333,0.111,0.2925145313396602,0.7074854686603398,"true"
"false","CUST100012",37,"Employed",1.3,49084,580,11.3,1289,21106,0,0,1,"Line of Credit","Medical",40800,13.12,0.43,0.831,0.277,0.6415003209174959,0.3584996790825042,"false"
"true","CUST100017",38,"Employed",5.3,53356,671,19.8,6339,23085,0,1,0,"Credit Card","Debt Consolidation",18700,17.58,0.433,0.35,0.117,0.3076488266714661,0.6923511733285339,"true"
"false","CUST100018",24,"Employed",5.4,18675,531,3.3,11,3280,0,2,0,"Credit Card","Medical",9500,22.49,0.176,0.509,0.17,0.661152487313633,0.338847512686367,"false"
"true","CUST100021",32,"Employed",1.3,109702,720,10.4,2790,42534,0,0,0,"Credit Card","Personal",4000,17.41,0.388,0.036,0.012,0.2925145313396602,0.7074854686603398,"true"
"false","CUST100028",27,"Employed",6.2,23613,594,2.9,320,3017,1,1,0,"Personal Loan","Debt Consolidation",26400,15.68,0.128,1.118,0.373,0.663792707509063,0.336207292490937,"false"
"true","CUST100030",27,"Employed",6.2,32073,619,8.0,274,6458,0,0,0,"Personal Loan","Medical",50600,13.03,0.201,1.578,0.526,0.4049189031571945,0.5950810968428055,"true"
"false","CUST100035",20,"Employed",1.0,21651,703,1.7,52,12414,0,1,0,"Credit Card","Personal",30000,16.23,0.573,1.386,0.462,0.6667957041451817,0.33320429585481826,"false"
"false","CUST100045",26,"Self-Employed",1.3,33606,675,1.4,258,3586,0,1,1,"Personal Loan","Personal",23700,11.73,0.107,0.705,0.235,0.33262504293080064,0.6673749570691994,"true"
"false","CUST100056",24,"Employed",2.1,34736,594,0.4,29,2283,0,2,0,"Credit Card","Education",43600,22.43,0.066,1.255,0.418,0.647975724199813,0.35202427580018697,"false"
"false","CUST100058",38,"Employed",3.3,32568,640,10.8,3073,7636,1,1,0,"Personal Loan","Education",11400,14.71,0.234,0.35,0.117,0.4233566743370186,0.5766433256629814,"true"
"false","CUST100065",51,"Employed",18.7,34543,592,30.0,52072,6288,0,0,1,"Credit Card","Business",23000,22.49,0.182,0.666,0.222,0.6097262877224037,0.39027371227759633,"false"
"true","CUST100070",39,"Employed",20.4,31003,702,0.9,104,6705,0,0,0,"Line of Credit","Personal",8600,8.1,0.216,0.277,0.092,0.33262504293080064,0.6673749570691994,"true"
